2025-10-11T16:38:27.000000000Z [inf]  Starting Container
2025-10-11T16:38:29.204129756Z [inf]  date        7d%  25d%  pos  equity   buy&hold
2025-10-11T16:38:29.793250626Z [inf]  2024-05-14   -1.2    5.0    0   1743.12   1628.07
2025-10-11T16:38:29.805878829Z [inf]  2024-05-15   -0.2    4.1    0   1743.12   1612.21
2025-10-11T16:38:29.814506792Z [inf]  2024-05-16    1.7    6.9    1   1743.12   1637.77
2025-10-11T16:38:29.832583843Z [inf]  2024-05-17    1.9    6.0    1   1743.12   1648.81
2025-10-11T16:38:29.835523534Z [inf]  2024-05-18   -1.0    5.9    0   1782.70   1702.52
2025-10-11T16:38:29.844619851Z [inf]  2024-05-19   -0.7    3.3    0   1782.70   1643.71
2025-10-11T16:38:29.856287683Z [inf]  2024-05-20    0.9    3.8    1   1782.70   1679.02
2025-10-11T16:38:29.868786132Z [inf]  2024-05-21    2.0    2.7    1   1782.70   1664.16
2025-10-11T16:38:29.877462933Z [inf]  2024-05-22    1.1    2.0    1   1782.70   1595.47
2025-10-11T16:38:29.887622890Z [inf]  2024-05-23    2.0    1.6    1   1782.70   1519.59
2025-10-11T16:38:29.899821207Z [inf]  2024-05-24   -0.3    3.9    0   1648.08   1560.89
2025-10-11T16:38:29.909154536Z [inf]  2024-05-25    0.7    3.7    1   1648.08   1507.60
2025-10-11T16:38:29.918308464Z [inf]  2024-05-26   -0.6    1.9    0   1591.81   1516.47
2025-10-11T16:38:29.931343189Z [inf]  2024-05-27    1.3    2.6    1   1591.81   1456.66
2025-10-11T16:38:29.939933029Z [inf]  2024-05-28    2.4    0.8    1   1591.81   1508.79
2025-10-11T16:38:29.952962495Z [inf]  2024-05-29    1.5    1.1    1   1591.81   1517.06
2025-10-11T16:38:29.960839500Z [inf]  2024-05-30    0.6    1.8    1   1591.81   1543.74
2025-10-11T16:38:29.970087583Z [inf]  2024-05-31   -1.0    2.9    0   1620.43   1543.76
2025-10-11T16:38:29.979322546Z [inf]  2024-06-01   -2.0   -0.2   -1   1620.43   1588.40
2025-10-11T16:38:29.989325213Z [inf]  2024-06-02   -1.8    1.0    0   1573.57   1578.77
2025-10-11T16:38:30.007498911Z [inf]  2024-06-03   -1.9    1.4    0   1573.57   1528.27
2025-10-11T16:38:30.015540283Z [inf]  2024-06-04   -3.0    4.4    0   1573.57   1533.23
2025-10-11T16:38:30.022295627Z [inf]  2024-06-05   -2.8    2.1    0   1573.57   1515.92
2025-10-11T16:38:30.034311726Z [inf]  2024-06-06   -2.2    3.7    0   1573.57   1508.59
2025-10-11T16:38:30.041598162Z [inf]  2024-06-07    0.1    1.3    1   1573.57   1500.43
2025-10-11T16:38:30.051925487Z [inf]  2024-06-08    0.8    1.5    1   1573.57   1518.20
2025-10-11T16:38:30.063488114Z [inf]  2024-06-09    1.3    1.7    1   1573.57   1442.27
2025-10-11T16:38:30.074880008Z [inf]  2024-06-10    3.1    3.1    1   1573.57   1387.43
2025-10-11T16:38:30.085351283Z [inf]  2024-06-11    3.3    2.8    1   1573.57   1403.97
2025-10-11T16:38:30.095944117Z [inf]  2024-06-12    3.8    3.4    1   1573.57   1494.81
2025-10-11T16:38:30.104961156Z [inf]  2024-06-13    4.2    1.3    1   1573.57   1518.82
2025-10-11T16:38:30.117640240Z [inf]  2024-06-14    2.8    2.8    1   1573.57   1521.67
2025-10-11T16:38:30.126706287Z [inf]  2024-06-15    1.4    0.6    1   1573.57   1501.54
2025-10-11T16:38:30.135690883Z [inf]  2024-06-16    1.2    1.2    1   1573.57   1481.26
2025-10-11T16:38:30.147254619Z [inf]  2024-06-17    2.1    0.8    1   1573.57   1454.66
2025-10-11T16:38:30.157574600Z [inf]  2024-06-18    3.0    0.5    1   1573.57   1499.37
2025-10-11T16:38:30.166401151Z [inf]  2024-06-19    2.8    2.9    1   1573.57   1445.31
2025-10-11T16:38:30.184533127Z [inf]  2024-06-20    1.5    2.5    1   1573.57   1445.93
2025-10-11T16:38:30.205103880Z [inf]  2024-06-21    1.9    7.3    1   1573.57   1461.57
2025-10-11T16:38:30.205112865Z [inf]  2024-06-22    2.1    7.1    1   1573.57   1496.19
2025-10-11T16:38:30.208624813Z [inf]  2024-06-23    1.6    6.2    1   1573.57   1463.80
2025-10-11T16:38:30.217326396Z [inf]  2024-06-24    1.9    8.2    1   1573.57   1573.84
2025-10-11T16:38:30.227722824Z [inf]  2024-06-25    2.2    7.9    1   1573.57   1550.75
2025-10-11T16:38:30.241616990Z [inf]  2024-06-26    2.6    8.5    1   1573.57   1593.27
2025-10-11T16:38:30.248802342Z [inf]  2024-06-27    2.5    7.4    1   1573.57   1590.68
2025-10-11T16:38:30.261293082Z [inf]  2024-06-28    3.0    6.4    1   1573.57   1575.44
2025-10-11T16:38:30.271162671Z [inf]  2024-06-29    3.0    5.9    1   1573.57   1698.40
2025-10-11T16:38:30.280199061Z [inf]  2024-06-30    2.3    3.9    1   1573.57   1667.54
2025-10-11T16:38:30.290202927Z [inf]  2024-07-01    7.0    6.1    1   1573.57   1644.20
2025-10-11T16:38:30.302451870Z [inf]  2024-07-02    6.6    7.2    1   1573.57   1615.75
2025-10-11T16:38:30.312407555Z [inf]  2024-07-03    6.8    7.9    1   1573.57   1629.55
2025-10-11T16:38:30.321172393Z [inf]  2024-07-04    6.9    5.4    1   1573.57   1647.15
2025-10-11T16:38:30.336494330Z [inf]  2024-07-05    5.5    6.8    1   1573.57   1628.54
2025-10-11T16:38:30.345286130Z [inf]  2024-07-06    4.2    6.8    1   1573.57   1650.62
2025-10-11T16:38:30.353915417Z [inf]  2024-07-07    2.5    4.4    1   1573.57   1625.94
2025-10-11T16:38:30.363940879Z [inf]  2024-07-08    0.8    4.8    1   1573.57   1608.21
2025-10-11T16:38:30.372869472Z [inf]  2024-07-09    0.9    3.9    1   1573.57   1624.84
2025-10-11T16:38:30.391641293Z [inf]  2024-07-10    0.4    3.1    1   1573.57   1605.54
2025-10-11T16:38:30.394258481Z [inf]  2024-07-11   -0.7    3.2    0   1674.69   1610.93
2025-10-11T16:38:30.411910695Z [inf]  2024-07-12    0.1    4.7    1   1674.69   1610.90
2025-10-11T16:38:30.415462375Z [inf]  2024-07-13    1.5    4.2    1   1674.69   1635.72
2025-10-11T16:38:30.432702709Z [inf]  2024-07-14    2.5    3.5    1   1674.69   1676.80
2025-10-11T16:38:30.436343859Z [inf]  2024-07-15    3.7    6.3    1   1674.69   1690.35
2025-10-11T16:38:30.445332008Z [inf]  2024-07-16    1.4    4.0    1   1674.69   1683.01
2025-10-11T16:38:30.457002355Z [inf]  2024-07-17    0.4    4.7    1   1674.69   1648.70
2025-10-11T16:38:30.468631899Z [inf]  2024-07-18    0.7    5.7    1   1674.69   1647.62
2025-10-11T16:38:30.478481476Z [inf]  2024-07-19    0.7    4.1    1   1674.69   1655.65
2025-10-11T16:38:30.487456457Z [inf]  2024-07-20    0.2    1.7    1   1674.69   1653.08
2025-10-11T16:38:30.498161386Z [inf]  2024-07-21    0.1   -1.7    0   1718.50   1600.17
2025-10-11T16:38:30.509814343Z [inf]  2024-07-22    0.6   -4.4    0   1718.50   1622.75
2025-10-11T16:38:30.518587770Z [inf]  2024-07-23    2.2   -4.5    0   1718.50   1587.30
2025-10-11T16:38:30.537288589Z [inf]  2024-07-24    1.9   -3.9    0   1718.50   1569.97
2025-10-11T16:38:30.539729273Z [inf]  2024-07-25   -0.2   -5.3   -1   1718.50   1574.35
2025-10-11T16:38:30.552141788Z [inf]  2024-07-26   -0.1   -5.5   -1   1718.50   1585.02
2025-10-11T16:38:30.560824391Z [inf]  2024-07-27   -0.2   -2.2   -1   1718.50   1580.92
2025-10-11T16:38:30.572785683Z [inf]  2024-07-28   -1.4   -1.6   -1   1718.50   1549.32
2025-10-11T16:38:30.585408070Z [inf]  2024-07-29   -1.8   -0.9   -1   1718.50   1544.55
2025-10-11T16:38:30.591874973Z [inf]  2024-07-30   -3.8   -0.7   -1   1718.50   1542.07
2025-10-11T16:38:30.600952688Z [inf]  2024-07-31   -4.6   -2.3   -1   1718.50   1524.80
2025-10-11T16:38:30.614640068Z [inf]  2024-08-01   -3.5   -3.5   -1   1718.50   1527.61
2025-10-11T16:38:30.623128405Z [inf]  2024-08-02   -2.9   -4.3   -1   1718.50   1502.61
2025-10-11T16:38:30.634179494Z [inf]  2024-08-03   -1.4   -4.6   -1   1718.50   1433.27
2025-10-11T16:38:30.642388071Z [inf]  2024-08-04   -2.7   -5.4   -1   1718.50   1469.23
2025-10-11T16:38:30.654825673Z [inf]  2024-08-05   -1.0   -5.4   -1   1718.50   1446.86
2025-10-11T16:38:30.666031484Z [inf]  2024-08-06   -0.7   -2.9   -1   1718.50   1466.86
2025-10-11T16:38:30.675203830Z [inf]  2024-08-07    0.8   -1.3    0   1831.37   1436.47
2025-10-11T16:38:30.684698011Z [inf]  2024-08-08    2.9   -3.5    0   1831.37   1449.75
2025-10-11T16:38:30.697062212Z [inf]  2024-08-09    3.9   -1.9    0   1831.37   1492.19
2025-10-11T16:38:30.706219587Z [inf]  2024-08-10    1.9   -0.8    0   1831.37   1495.24
2025-10-11T16:38:30.718221747Z [inf]  2024-08-11    2.5   -2.8    0   1831.37   1477.06
2025-10-11T16:38:30.724995485Z [inf]  2024-08-12    5.4   -2.7    0   1831.37   1431.26
2025-10-11T16:38:30.736826069Z [inf]  2024-08-13    5.6   -0.6    0   1831.37   1356.17
2025-10-11T16:38:30.750708949Z [inf]  2024-08-14    6.4   -1.3    0   1831.37   1346.16
2025-10-11T16:38:30.757159244Z [inf]  2024-08-15    6.0   -0.0    0   1831.37   1384.23
2025-10-11T16:38:30.767424014Z [inf]  2024-08-16    6.2    1.5    1   1831.37   1327.83
2025-10-11T16:38:30.778201735Z [inf]  2024-08-17    5.2    3.1    1   1831.37   1348.20
2025-10-11T16:38:30.788490413Z [inf]  2024-08-18    4.7    2.8    1   1831.37   1379.94
2025-10-11T16:38:30.797275847Z [inf]  2024-08-19    3.2    5.2    1   1831.37   1372.24
2025-10-11T16:38:30.809522846Z [inf]  2024-08-20    5.0    7.3    1   1831.37   1363.06
2025-10-11T16:38:30.817958765Z [inf]  2024-08-21    5.3    7.8    1   1831.37   1376.12
2025-10-11T16:38:30.837317546Z [inf]  2024-08-22    4.6    8.5    1   1831.37   1407.38
2025-10-11T16:38:30.840505687Z [inf]  2024-08-23    1.0   10.8    1   1831.37   1445.27
2025-10-11T16:38:30.852015361Z [inf]  2024-08-24    0.7    9.0    1   1831.37   1538.60
2025-10-11T16:38:30.862182406Z [inf]  2024-08-25    0.8    8.3    1   1831.37   1546.20
2025-10-11T16:38:30.870022576Z [inf]  2024-08-26    0.8   10.7    1   1831.37   1523.48
2025-10-11T16:38:30.882735016Z [inf]  2024-08-27    1.1    8.5    1   1831.37   1521.10
2025-10-11T16:38:30.891092949Z [inf]  2024-08-28   -1.1    8.2    0   2012.46   1584.62
2025-10-11T16:38:30.903804720Z [inf]  2024-08-29   -0.6    7.4    0   2012.46   1596.03
2025-10-11T16:38:30.916254705Z [inf]  2024-08-30    0.3    6.3    1   2012.46   1620.40
2025-10-11T16:38:30.922761138Z [inf]  2024-08-31    1.2    5.3    1   2012.46   1605.35
2025-10-11T16:38:30.933105617Z [inf]  2024-09-01    0.2    2.1    1   2012.46   1567.41
2025-10-11T16:38:30.946130195Z [inf]  2024-09-02    0.6    0.3    1   2012.46   1554.09
2025-10-11T16:38:30.954535621Z [inf]  2024-09-03   -0.4    0.8    0   1959.58   1564.17
2025-10-11T16:38:30.965494900Z [inf]  2024-09-04   -0.5    1.1    0   1959.58   1614.28
2025-10-11T16:38:30.973771422Z [inf]  2024-09-05   -1.6    1.5    0   1959.58   1614.01
2025-10-11T16:38:30.987052934Z [inf]  2024-09-06   -1.1   -2.6   -1   1959.58   1622.41
2025-10-11T16:38:30.995651726Z [inf]  2024-09-07   -2.6    0.1    0   1949.38   1587.58
2025-10-11T16:38:31.005981481Z [inf]  2024-09-08   -1.5   -2.7   -1   1949.38   1573.40
2025-10-11T16:38:31.016311614Z [inf]  2024-09-09   -1.8   -2.9   -1   1949.38   1536.31
2025-10-11T16:38:31.029108782Z [inf]  2024-09-10   -1.0   -0.7   -1   1949.38   1553.57
2025-10-11T16:38:31.035853769Z [inf]  2024-09-11    2.0   -3.7    0   1991.14   1461.92
2025-10-11T16:38:31.049246954Z [inf]  2024-09-12    1.7   -2.6    0   1991.14   1442.89
2025-10-11T16:38:31.057608421Z [inf]  2024-09-13    2.7   -1.2    0   1991.14   1382.58
2025-10-11T16:38:31.068475317Z [inf]  2024-09-14    1.8    0.3    1   1991.14   1284.12
2025-10-11T16:38:31.080815532Z [inf]  2024-09-15    1.3   -1.7    0   1849.34   1331.73
2025-10-11T16:38:31.088182536Z [inf]  2024-09-16    4.0   -1.2    0   1849.34   1310.63
2025-10-11T16:38:31.100786931Z [inf]  2024-09-17    3.5    0.8    1   1849.34   1466.38
2025-10-11T16:38:31.111145951Z [inf]  2024-09-18    3.0   -0.3    0   2069.10   1446.22
2025-10-11T16:38:31.123249029Z [inf]  2024-09-19    2.1   -1.6    0   2069.10   1448.25
2025-10-11T16:38:31.132031060Z [inf]  2024-09-20    1.2    1.3    1   2069.10   1395.69
2025-10-11T16:38:31.144267838Z [inf]  2024-09-21    2.0    0.5    1   2069.10   1410.77
2025-10-11T16:38:31.156617882Z [inf]  2024-09-22    1.6    2.1    1   2069.10   1440.26
2025-10-11T16:38:31.165441621Z [inf]  2024-09-23    1.1    0.4    1   2069.10   1395.00
2025-10-11T16:38:31.174175310Z [inf]  2024-09-24   -0.1    2.6    0   1993.02   1367.84
2025-10-11T16:38:31.186339746Z [inf]  2024-09-25    0.8    4.9    1   1993.02   1399.55
2025-10-11T16:38:31.207863634Z [inf]  2024-09-26    1.0    5.0    1   1993.02   1414.22
2025-10-11T16:38:31.207869973Z [inf]  2024-09-27    0.8    6.2    1   1993.02   1388.91
2025-10-11T16:38:31.217320738Z [inf]  2024-09-28   -1.3    4.9    0   2023.72   1412.95
2025-10-11T16:38:31.226071449Z [inf]  2024-09-29   -1.4    5.0    0   2023.72   1402.85
2025-10-11T16:38:31.235227002Z [inf]  2024-09-30   -1.0    7.2    0   2023.72   1453.78
2025-10-11T16:38:31.245405052Z [inf]  2024-10-01   -0.9    6.3    0   2023.72   1435.23
2025-10-11T16:38:31.255775261Z [inf]  2024-10-02   -0.8    5.4    0   2023.72   1522.27
2025-10-11T16:38:31.267591089Z [inf]  2024-10-03   -1.3    2.9    0   2023.72   1525.12
2025-10-11T16:38:31.281657566Z [inf]  2024-10-04   -0.8    2.8    0   2023.72   1526.61
2025-10-11T16:38:31.287867121Z [inf]  2024-10-05   -1.0    2.3    0   2023.72   1493.67
2025-10-11T16:38:31.301350362Z [inf]  2024-10-06   -0.8    2.4    0   2023.72   1412.39
2025-10-11T16:38:31.312621770Z [inf]  2024-10-07    1.3    2.8    1   2023.72   1403.36
2025-10-11T16:38:31.321309287Z [inf]  2024-10-08    1.9    1.3    1   2023.72   1411.06
2025-10-11T16:38:31.330208137Z [inf]  2024-10-09    1.2    2.7    1   2023.72   1405.47
2025-10-11T16:38:31.339070013Z [inf]  2024-10-10    2.3    2.5    1   2023.72   1401.91
2025-10-11T16:38:31.351213380Z [inf]  2024-10-11    2.1    2.8    1   2023.72   1362.16
2025-10-11T16:38:31.361499731Z [inf]  2024-10-12    1.9    2.0    1   2023.72   1405.67
2025-10-11T16:38:31.370441578Z [inf]  2024-10-13    0.9    0.1    1   2023.72   1366.58
2025-10-11T16:38:31.381547681Z [inf]  2024-10-14    1.3   -0.3    0   1958.07   1378.06
2025-10-11T16:38:31.393402354Z [inf]  2024-10-15    1.6    0.5    1   1958.07   1335.49
2025-10-11T16:38:31.401638734Z [inf]  2024-10-16    3.2    0.7    1   1958.07   1282.79
2025-10-11T16:38:31.414011199Z [inf]  2024-10-17    3.0    1.5    1   1958.07   1287.49
2025-10-11T16:38:31.422997651Z [inf]  2024-10-18    2.6    2.1    1   1958.07   1304.35
2025-10-11T16:38:31.432212408Z [inf]  2024-10-19    3.2    3.6    1   1958.07   1355.98
2025-10-11T16:38:31.450368720Z [inf]  2024-10-20    3.2    2.7    1   1958.07   1370.10
2025-10-11T16:38:31.454071577Z [inf]  2024-10-21    4.9    4.5    1   1958.07   1363.02
2025-10-11T16:38:31.463212709Z [inf]  2024-10-22    4.7    5.9    1   1958.07   1381.90
